table_name	column_name
mdl_badge_backpack	userid
mdl_badge_backpack	email
mdl_badge_backpack	backpackurl
mdl_badge_backpack	backpackuid
mdl_badge_backpack	autosync
mdl_badge_backpack	password
mdl_badge_criteria	id
mdl_badge_criteria	badgeid
mdl_badge_criteria	criteriatype
mdl_badge_criteria	method
mdl_badge_criteria	description
mdl_badge_criteria	descriptionformat
mdl_badge_criteria_met	id
mdl_badge_criteria_met	issuedid
mdl_badge_criteria_met	critid
mdl_badge_criteria_met	userid
mdl_badge_criteria_met	datemet
mdl_badge_criteria_param	id
mdl_badge_criteria_param	critid
mdl_badge_criteria_param	name
mdl_badge_criteria_param	value
mdl_badge_external	id
mdl_badge_external	backpackid
mdl_badge_external	collectionid
mdl_badge_issued	id
mdl_badge_issued	badgeid
mdl_badge_issued	userid
mdl_badge_issued	uniquehash
mdl_badge_issued	dateissued
mdl_badge_issued	dateexpire
mdl_badge_issued	visible
mdl_badge_issued	issuernotified
mdl_badge_manual_award	id
mdl_badge_manual_award	badgeid
mdl_badge_manual_award	recipientid
mdl_badge_manual_award	issuerid
mdl_badge_manual_award	issuerrole
mdl_badge_manual_award	datemet
mdl_block	id
mdl_block	name
mdl_block	cron
mdl_block	lastcron
mdl_block	visible
mdl_block_community	id
mdl_block_community	userid
mdl_block_community	coursename
mdl_block_community	coursedescription
mdl_block_community	courseurl
mdl_block_community	imageurl
mdl_block_instances	id
mdl_block_instances	blockname
mdl_block_instances	parentcontextid
mdl_block_instances	showinsubcontexts
mdl_block_instances	requiredbytheme
mdl_block_instances	pagetypepattern
mdl_block_instances	subpagepattern
mdl_block_instances	defaultregion
mdl_block_instances	defaultweight
mdl_block_instances	configdata
mdl_block_positions	id
mdl_block_positions	blockinstanceid
mdl_block_positions	contextid
mdl_block_positions	pagetype
mdl_block_positions	subpage
mdl_block_positions	visible
mdl_block_positions	region
mdl_block_positions	weight
mdl_block_recent_activity	id
mdl_block_recent_activity	courseid
mdl_block_recent_activity	cmid
mdl_block_recent_activity	timecreated
mdl_block_recent_activity	userid
mdl_block_recent_activity	action
mdl_block_recent_activity	modname
mdl_block_rss_client	id
mdl_block_rss_client	userid
mdl_block_rss_client	title
mdl_block_rss_client	preferredtitle
mdl_block_rss_client	description
